researcher_id,dataset_id,relationship_type
R001,D001,contributor
R002,D001,contributor
R003,D001,contributor
R004,D002,contributor
R005,D002,contributor
R006,D002,contributor
R007,D003,contributor
R008,D003,contributor
R009,D003,contributor
R010,D004,contributor
R011,D004,contributor
R012,D004,contributor
R013,D005,contributor
R014,D005,contributor
R015,D005,contributor
R016,D006,contributor
R017,D006,contributor
R018,D006,contributor
R019,D007,contributor
R020,D007,contributor
R021,D007,contributor
R022,D008,contributor
R023,D008,contributor
R024,D008,contributor
R025,D009,contributor
R026,D009,contributor
R027,D009,contributor
R028,D010,contributor
R029,D010,contributor
R030,D010,contributor
R031,D011,contributor
R032,D011,contributor
R033,D011,contributor
R034,D012,contributor
R035,D012,contributor
R036,D012,contributor
R037,D013,contributor
R038,D013,contributor
R039,D013,contributor
R040,D014,contributor
R041,D014,contributor
R042,D014,contributor
R043,D015,contributor
R044,D015,contributor
R045,D015,contributor
R046,D016,contributor
R047,D016,contributor
R048,D016,contributor
R049,D017,contributor
R050,D017,contributor
R051,D017,contributor
R046,D018,contributor
R052,D018,contributor
R053,D018,contributor
R054,D019,contributor
R055,D019,contributor
R026,D019,contributor
R056,D020,contributor
R057,D020,contributor
R058,D020,contributor
